Question,Answer
Another term for electoral fraud is what?,voter fraud
"Illegal voter registration, the miscounting of votes, and what at polls is considered voter fraud?",intimidation
"When entrusted funds are stolen, it is called what?",Embezzlement
It is considered political when it involves what kind of money?,public
One form of political embezzlement is when a politician uses government resources for what use?,personal
What is the public official's share called when involved in corrupt bidding?,kickback
A contract can be given to someone who is not the best what?,bidder
What is not limited to just government officials?,Kickbacks
"When groups that are antagonistic to each other form a coalition for hidden gain, it is called what?",unholy alliance
"While not illegal, an unholy alliance can be more dangerous to the public than what?",patronage
When was Jinrong a police chief in this area?,1920s and 1930s
Who was a local gang ringleader in the same area?,Du Yuesheng
"In addition to being a police chief, Jinrong was also what?",a gang boss
What was Noriega's government accused of being?,narcokleptocracy
What country did Noriega rule?,Panama
What country invaded Panama to capture Noriega?,United States
What is a narcokleptocracy?,government profiting on illegal drug trade
What is Noriega's first name?,Manuel
"According to Thomas Jefferson, when the media is free and people are literate they are what?",safe
Who found evidence that where the media had freedom there was less political corruption?,Brunetti and Weder
Who discovered that more people reading newspapers resulted in higher political accountability?,"AdserÃ , Boix, and Payne"
About 100 countries and what else was information gathered from to show that more people reading newspapers had higher political accountability?,different states in the US.
Who discovered the correlation that congressman who have less local press coverage work less for the people who elected them?,Snyder and StrÃ¶mberg
What newspaper stopped publishing in 2007?,Cincinnati Post
Who was most likely to get reelected after the Post shut down?,incumbents
Campaign spending and what fell after the Post stopped publishing?,voter turnout
What did the analysis show mixed results for?,growth of the Internet
What was disrupted by Internet growth for the press?,traditional sources of funding
How much has new types of Internet journalism replaced what has been lost in the press?,a tiny fraction
How many measures does Transparency International publish right now?,three
What is the measure that Transparency International publishes that looks at the willingness of a foreign company to pay a bribe?,Bribe Payers Index
What is the measure that it publishes that involves polling to determine the public's take on how corrupt various countries are?,CPI
When was the CPI first released?,1995
Which index studies the correlation of corruption and military in a country?,Government Defence Anti-corruption Index
How many firms throughout the world have been surveyed by the World Bank in regards to its corruption study?,"over 100,000"
How many dimensions of governance are measured by the Worldwide Governance Indicators?,six
"One of the dimensions is the extent to which power is exercised for personal gain, which is called what?",Control of Corruption
Which organization is most notable for adopting the global coverage of these studies?,Millennium Challenge Corporation
A second set of corruption metrics has been compiled by Global Integrity and what other organization?,International Budget Partnership
When was the Global Integrity Index first published?,2004
Both companies no longer use what means of collecting of data?,public surveys
"Instead of public surveys, the organizations use what to study corruption?",in-country experts
The second wave of metrics focuses on what level of corruption?,local
"Unlike the first wave, the second wave does not offer what type of coverage?",worldwide
What is the British aid agency's research called?,Drivers of Change
What does Drivers of Change skip?,numbers
What does Drivers of Change promote?,understanding corruption
"Public spending has risks of kickbacks, embezzlement and what?",cronyism
What type of regulations make corruption worse for public spending?,Complicated
The potential for corruption in public spending are one of the arguments that favor what?,privatization and deregulation
What countries have big public sectors but low corruption?,Nordic
What do the low corruption countries have solidly established?,rule of law
Selling government property is highly at risk for what?,cronyism
